net,length_um
net2815,231.055µm
net3775,230.655µm
u_fft_core.fft4_data2_im\[6\],230.01µm
u_fft_core.mdc_ff2_data0_re\[7\],229.64µm
net2785,228.785µm
net3043,228.73µm
net2913,228.625µm
clknet_7_47__leaf_i_clk,227.79µm
net2829,227.43µm
net3748,226.34µm
net3312,225.95µm
_13638_,224.92µm
_15092_,224.85µm
net2879,224.38µm
net3816,223.25µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[3\],223.18µm
_14909_,222.795µm
_15009_,222.74µm
clknet_7_34__leaf_i_clk,222.35µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_i\[6\],220.82µm
_13604_,220.26µm
u_fft_core.u_fft4.r_x1_im\[1\],220.065µm
u_fft_core.fft4_data2_re\[4\],219.87µm
net3752,219.625µm
_15305_,219.56µm
_18011_,217.88µm
net3146,217.835µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[3\],217.445µm
u_fft_core.mdc_ff2_data0_re\[5\],217.385µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_i\[4\],216.985µm
clknet_7_49__leaf_i_clk,216.605µm
_13605_,216.54µm
net3301,216.475µm
_13701_,216.42µm
net3176,216.295µm
clknet_7_56__leaf_i_clk,216.295µm
_13609_,216.21µm
net3001,215.7µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_i\[2\],215.53µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[7\],215.48µm
_13606_,215.47µm
net3375,215.38µm
u_fft_core.u_fft4.s1_ev_sub_re\[2\],214.525µm
u_fft_core.mdc_ff2_data0_re\[1\],214.45µm
_14838_,214.33µm
_13708_,213.97µm
_13648_,213.54µm
u_fft_core.u_twiddle_interface.data1_re_q\[5\],213.28µm
net3187,213.185µm
net3921,213.115µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data1_i\[4\],213.07µm
net2882,213.025µm
net2985,212.99µm
u_fft_core.mdc_ff0_data0_re\[7\],212.88µm
net3177,212.8µm
u_fft_core.mdc_ff2_data1_re\[1\],212.605µm
u_fft_core.mdc_ff0_data0_im\[5\],212.425µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_i\[2\],212.01µm
net3391,211.835µm
net3143,211.725µm
_13612_,211.58µm
u_fft_core.u_fft4.s1_ev_sub_re\[1\],211.24µm
_13613_,210.68µm
_13748_,210.68µm
net3835,210.64µm
net2850,210.52µm
_13757_,210.15µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_i\[3\],209.9µm
net3373,209.2µm
_14831_,209.16µm
clknet_7_48__leaf_i_clk,208.73µm
net3669,208.435µm
u_fft_core.mdc_ff0_data1_im\[5\],208.345µm
net2933,208.325µm
_13699_,208.23µm
net2984,207.82µm
_13746_,207.57µm
u_fft_core.shift_r2_ff3_data1_re\[7\],207.37µm
net2993,207.175µm
_13607_,206.95µm
net3800,206.395µm
net3774,206.105µm
_13611_,205.82µm
net3009,205.81µm
net3307,205.54µm
net3793,205.215µm
net3861,205.135µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_r\[0\]\[8\],205.09µm
_13750_,204.92µm
u_fft_core.mdc_ff2_data1_re\[3\],204.86µm
_13671_,204.34µm
net3377,203.62µm
net3962,203.61µm
net3237,203.425µm
u_fft_core.u_fft4.r_x2_im\[1\],203.305µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[13\],203.23µm
_15307_,203.155µm
net4035,203.14µm
_13614_,203.12µm
_15079_,202.805µm
_17192_,202.7µm
net3365,202.685µm
net3354,202.55µm
_13664_,202.32µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_i\[4\],202.18µm
net3359,201.78µm
_14910_,201.665µm
net4096,201.51µm
net3036,201.47µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_i\[0\]\[2\],201.41µm
u_fft_core.u_fft4.s1_ev_sub_re\[0\],200.855µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_r\[0\]\[2\],200.64µm
_15093_,200.54µm
_03858_,199.74µm
u_fft_core.fft4_data2_im\[5\],199.135µm
net2941,198.745µm
u_fft_core.mdc_ff0_data0_im\[1\],198.715µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[8\],198.28µm
net3044,198.02µm
_15000_,197.89µm
rx_data_im\[7\],197.77µm
_15008_,197.67µm
_03913_,197.315µm
_13756_,197.1µm
net3372,196.615µm
net2956,196.435µm
net3241,196.11µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[6\],196.055µm
u_fft_core.u_twiddle_interface.data1_re_q\[3\],196.015µm
net3351,195.995µm
_03633_,195.94µm
net3038,195.675µm
net4036,195.655µm
_13679_,195.56µm
net3794,195.27µm
_13721_,195.19µm
net2909,194.32µm
net3297,194.21µm
net3356,193.965µm
_13743_,193.89µm
_13690_,193.68µm
net3841,192.835µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_i\[9\],192.4µm
_15007_,192.27µm
net2869,192.13µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_i\[0\]\[1\],192.11µm
net2911,192.085µm
_13635_,191.72µm
net3881,191.705µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[8\],191.63µm
u_fft_core.u_twiddle_interface.data1_re_q\[4\],191.6µm
net3052,191.465µm
net3005,191.375µm
_13772_,191.31µm
net2974,191.26µm
net3318,191.195µm
clknet_7_65__leaf_i_clk,191.12µm
net3135,191.05µm
_02654_,190.825µm
o_spi_miso,190.65µm
_17390_,190.62µm
net3144,190.575µm
_13608_,190.45µm
u_fft_core.mdc_ff0_data1_im\[7\],190.23µm
_14999_,190.18µm
u_fft_core.u_twiddle_interface.data2_re_q\[5\],189.99µm
net3315,189.51µm
net3751,188.85µm
net3376,188.485µm
net3928,188.475µm
u_fft_core.mdc_ff0_data1_re\[6\],188.325µm
_15213_,188.055µm
net3750,188.025µm
net2988,187.995µm
