net,length_um
u_fft_core.u_buffer_parallel2serial.mem_im\[12\]\[6\],23.485µm
_14178_,23.48µm
_02269_,23.475µm
_03801_,23.475µm
_03584_,23.47µm
_08702_,23.47µm
_12986_,23.47µm
_02896_,23.465µm
_16985_,23.465µm
u_fft_core.u_buffer_parallel2serial.mem_im\[15\]\[3\],23.465µm
_16360_,23.46µm
u_fft_core.u_buffer_parallel2serial.mem_im\[6\]\[3\],23.46µm
u_fft_core.u_buffer_parallel2serial.mem_re\[25\]\[2\],23.455µm
_08349_,23.45µm
_11212_,23.435µm
_08579_,23.43µm
_11897_,23.43µm
_14441_,23.425µm
u_fft_core.u_shift_r4.data_im_q\[80\],23.425µm
_02697_,23.42µm
_06903_,23.42µm
_15324_,23.42µm
_12796_,23.415µm
_12233_,23.41µm
u_fft_core.u_buffer_parallel2serial.mem_im\[6\]\[6\],23.41µm
u_fft_core.u_buffer_parallel2serial.mem_re\[9\]\[1\],23.41µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[9\],23.41µm
_05220_,23.405µm
_01289_,23.4µm
_16102_,23.39µm
_15994_,23.38µm
u_fft_core.u_fft4.r_x3_re\[1\],23.38µm
u_fft_core.u_shift_r4.data_re_q\[15\],23.38µm
_08998_,23.375µm
u_fft_core.u_buffer_parallel2serial.mem_im\[21\]\[3\],23.375µm
u_fft_core.u_buffer_parallel2serial.mem_im\[30\]\[3\],23.365µm
u_fft_core.u_buffer_parallel2serial.mem_im\[5\]\[2\],23.365µm
_08068_,23.355µm
_00320_,23.35µm
_08648_,23.35µm
u_fft_core.u_buffer_parallel2serial.mem_re\[23\]\[7\],23.35µm
u_fft_core.u_shift_r4.data_im_q\[49\],23.35µm
_06116_,23.34µm
_08490_,23.34µm
_14221_,23.34µm
u_fft_core.u_buffer_parallel2serial.mem_re\[23\]\[3\],23.34µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_i\[3\],23.34µm
_03072_,23.335µm
u_fft_core.u_buffer_parallel2serial.mem_im\[27\]\[4\],23.335µm
_16204_,23.325µm
_18195_,23.325µm
u_fft_core.u_fft4.s1_od_sum_re\[5\],23.325µm
_16743_,23.32µm
_08121_,23.315µm
_17402_,23.31µm
u_fft_core.u_shift_r4.data_re_q\[38\],23.31µm
_07403_,23.305µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[10\],23.3µm
_06325_,23.29µm
u_fft_core.u_buffer_parallel2serial.mem_im\[0\]\[1\],23.29µm
u_fft_core.u_shift_r4.data_re_q\[27\],23.29µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data1_i\[7\],23.285µm
_03820_,23.28µm
_12871_,23.28µm
_14817_,23.28µm
_16010_,23.28µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_bt0_i\[0\]\[1\],23.28µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.r_data0_i\[1\],23.28µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.i_data_1r\[3\],23.28µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[8\],23.28µm
net3153,23.28µm
_02851_,23.275µm
_17665_,23.275µm
_02894_,23.27µm
u_fft_core.u_buffer_parallel2serial.mem_re\[21\]\[2\],23.27µm
u_fft_core.u_buffer_parallel2serial.mem_im\[30\]\[5\],23.245µm
u_fft_core.u_buffer_parallel2serial.mem_im\[26\]\[0\],23.24µm
u_fft_core.u_buffer_parallel2serial.mem_re\[6\]\[7\],23.24µm
u_fft_core.u_shift_r4.data_re_q\[42\],23.24µm
clknet_6_53_0_i_clk,23.24µm
_16867_,23.235µm
_04049_,23.23µm
u_fft_core.u_buffer_parallel2serial.mem_im\[14\]\[5\],23.23µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[14\],23.23µm
_02304_,23.22µm
_13616_,23.22µm
_14618_,23.22µm
_16729_,23.22µm
u_debug_sys.u_spi_slave.tx_active,23.22µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data1_i\[5\],23.22µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data1_r\[3\],23.22µm
_10574_,23.21µm
_06392_,23.195µm
_09991_,23.195µm
_09572_,23.19µm
_06973_,23.185µm
u_fft_core.shift_r2_ff2_data0_im\[5\],23.185µm
_03629_,23.18µm
_13206_,23.18µm
_14161_,23.17µm
_16990_,23.17µm
_17760_,23.17µm
u_fft_core.u_buffer_parallel2serial.mem_im\[10\]\[5\],23.17µm
u_fft_core.u_buffer_parallel2serial.mem_re\[26\]\[2\],23.17µm
u_fft_core.u_fft4.s2_x3_re\[6\],23.17µm
_16619_,23.165µm
_05150_,23.16µm
_11471_,23.16µm
u_fft_core.u_buffer_parallel2serial.mem_re\[7\]\[0\],23.16µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.r_data0_i\[6\],23.16µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.o_data_1i\[8\],23.16µm
u_tx.current_state\[0\],23.15µm
_11629_,23.13µm
_07031_,23.12µm
_16543_,23.12µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[2\],23.12µm
_05233_,23.115µm
_04803_,23.11µm
_14976_,23.11µm
_17329_,23.11µm
_18152_,23.11µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[5\],23.11µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_data1_i\[1\],23.11µm
net2899,23.11µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.o_data_1i\[0\],23.1µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.i_data_1r\[9\],23.1µm
u_rx.current_shift\[4\],23.1µm
_02998_,23.095µm
_06402_,23.09µm
net3584,23.09µm
_09110_,23.075µm
_02557_,23.07µm
_05731_,23.07µm
_10585_,23.07µm
_11887_,23.07µm
_03143_,23.065µm
_09033_,23.065µm
_15105_,23.065µm
_16970_,23.065µm
_04307_,23.06µm
_12672_,23.06µm
u_fft_core.shift_r2_ff0_data0_re\[0\],23.06µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data1_i\[2\],23.06µm
u_fft_core.u_shift_r4.data_im_q\[77\],23.06µm
u_fft_core.u_buffer_parallel2serial.mem_re\[6\]\[1\],23.055µm
_16928_,23.05µm
u_fft_core.u_shift_r4.data_im_q\[152\],23.05µm
u_fft_core.u_shift_r4.data_im_q\[75\],23.05µm
_12354_,23.045µm
_09618_,23.04µm
_10356_,23.025µm
u_fft_core.u_shift_r2_fft0.data_re_q\[12\],23.025µm
net3219,23.025µm
_11389_,23.02µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.r_idata_i\[0\]\[10\],23.015µm
_03328_,23.01µm
_10102_,22.99µm
_10735_,22.99µm
_13210_,22.99µm
u_fft_core.u_twiddle_interface.mult2_re\[2\],22.99µm
u_fft_core.u_shift_r2_fft2.data_re_q\[31\],22.98µm
_09286_,22.965µm
_11826_,22.965µm
_16433_,22.965µm
_08984_,22.96µm
_17575_,22.955µm
_04942_,22.95µm
u_fft_core.u_buffer_parallel2serial.mem_re\[16\]\[2\],22.95µm
_07353_,22.945µm
_12723_,22.935µm
_12173_,22.93µm
u_debug_sys.u_debug_unit.status_flags_sync\[0\],22.93µm
u_fft_core.u_buffer_parallel2serial.mem_im\[14\]\[4\],22.93µm
u_fft_core.u_buffer_parallel2serial.mem_im\[17\]\[0\],22.93µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[9\],22.93µm
u_fft_core.u_shift_r4.data_im_q\[164\],22.93µm
_14148_,22.925µm
_15610_,22.925µm
u_fft_core.shift_r2_ff1_data0_im\[5\],22.925µm
_00728_,22.92µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[2\],22.92µm
_11630_,22.915µm
u_fft_core.u_buffer_parallel2serial.mem_re\[2\]\[6\],22.915µm
u_fft_core.u_buffer_parallel2serial.mem_re\[6\]\[6\],22.915µm
_13450_,22.905µm
u_fft_core.u_buffer_parallel2serial.mem_im\[9\]\[6\],22.905µm
_02740_,22.88µm
u_fft_core.u_shift_r4.data_re_q\[157\],22.88µm
_05917_,22.87µm
_09559_,22.87µm
_16022_,22.87µm
u_fft_core.u_buffer_parallel2serial.mem_im\[20\]\[5\],22.87µm
_07519_,22.86µm
_12234_,22.86µm
_14047_,22.86µm
_14359_,22.86µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.u_btfly2.o_data1_i\[4\],22.86µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[4\],22.86µm
_06659_,22.855µm
_07880_,22.855µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data1_i\[8\],22.855µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[4\],22.85µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data1_i\[7\],22.845µm
_17109_,22.84µm
_16381_,22.82µm
u_fft_core.u_buffer_parallel2serial.mem_im\[18\]\[0\],22.82µm
u_fft_core.u_buffer_parallel2serial.mem_re\[18\]\[1\],22.82µm
_08885_,22.81µm
_14386_,22.81µm
u_fft_core.shift_r2_ff3_data0_re\[3\],22.81µm
u_fft_core.u_buffer_parallel2serial.mem_im\[0\]\[3\],22.81µm
u_fft_core.u_buffer_parallel2serial.mem_re\[26\]\[0\],22.81µm
u_fft_core.u_shift_r2_fft1.data_re_q\[22\],22.81µm
u_fft_core.u_shift_r2_fft3.data_re_q\[21\],22.81µm
u_fft_core.u_shift_r4.data_re_q\[48\],22.81µm
_08712_,22.805µm
_01888_,22.8µm
_02213_,22.8µm
_03103_,22.8µm
_03519_,22.8µm
_05038_,22.8µm
_11777_,22.8µm
_12478_,22.8µm
_14880_,22.8µm
_17105_,22.8µm
_17217_,22.8µm
_06085_,22.795µm
u_debug_sys.u_debug_unit.mid_data_re_sync\[5\],22.795µm
u_fft_core.u_fft4.s1_od_sum_im\[2\],22.795µm
net3116,22.775µm
u_fft_core.u_buffer_parallel2serial.mem_im\[2\]\[6\],22.765µm
u_fft_core.u_buffer_parallel2serial.mem_re\[31\]\[2\],22.765µm
u_fft_core.u_shift_r4.data_re_q\[175\],22.765µm
_09483_,22.76µm
u_fft_core.u_buffer_parallel2serial.mem_re\[2\]\[0\],22.76µm
u_rx.current_shift\[14\],22.76µm
net3792,22.76µm
_03265_,22.755µm
_02681_,22.75µm
_12592_,22.75µm
_16569_,22.75µm
_08126_,22.745µm
_02891_,22.74µm
_13474_,22.74µm
u_fft_core.u_buffer_parallel2serial.mem_im\[4\]\[7\],22.74µm
_06460_,22.715µm
u_fft_core.u_shift_r4.valid_q\[2\],22.71µm
_09665_,22.7µm
_13443_,22.7µm
_16134_,22.7µm
_14511_,22.695µm
_10309_,22.69µm
_13916_,22.69µm
_15983_,22.69µm
_16361_,22.69µm
u_fft_core.u_buffer_parallel2serial.mem_re\[24\]\[5\],22.69µm
u_fft_core.u_shift_r2_fft3.data_im_q\[21\],22.69µm
_07823_,22.685µm
_01385_,22.68µm
_08006_,22.68µm
_17494_,22.68µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[1\]\[16\],22.68µm
_06908_,22.675µm
_06735_,22.665µm
_08079_,22.665µm
_16510_,22.665µm
_17669_,22.665µm
_09821_,22.65µm
u_fft_core.u_buffer_parallel2serial.mem_im\[4\]\[3\],22.65µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[12\],22.65µm
_15592_,22.645µm
u_fft_core.u_buffer_parallel2serial.mem_im\[9\]\[3\],22.645µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_data1_r\[4\],22.645µm
_08683_,22.64µm
_08763_,22.635µm
_15556_,22.63µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[4\],22.63µm
_06026_,22.62µm
_07449_,22.62µm
_11179_,22.62µm
u_fft_core.shift_r2_ff1_data1_im\[4\],22.615µm
u_fft_core.u_shift_r4.data_re_q\[168\],22.615µm
_13488_,22.605µm
net3510,22.6µm
_08205_,22.585µm
_04533_,22.58µm
_06763_,22.58µm
_06922_,22.58µm
_02546_,22.575µm
_18009_,22.575µm
_05654_,22.57µm
_07885_,22.57µm
_08977_,22.57µm
_14805_,22.57µm
u_fft_core.u_buffer_parallel2serial.mem_im\[23\]\[0\],22.57µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1i\[2\],22.57µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[5\],22.57µm
u_fft_core.u_shift_r2_fft2.data_re_q\[26\],22.57µm
_09344_,22.565µm
_06813_,22.56µm
_10275_,22.56µm
u_fft_core.u_buffer_parallel2serial.mem_im\[11\]\[0\],22.56µm
_12315_,22.555µm
u_fft_core.u_buffer_parallel2serial.mem_re\[27\]\[6\],22.545µm
_11476_,22.535µm
_17883_,22.53µm
_09725_,22.525µm
_10246_,22.525µm
_02566_,22.515µm
_13702_,22.51µm
u_fft_core.shift_r4_data0_re\[6\],22.51µm
u_fft_core.u_buffer_parallel2serial.mem_im\[28\]\[5\],22.51µm
net3393,22.51µm
_09710_,22.5µm
u_fft_core.u_buffer_parallel2serial.mem_im\[28\]\[7\],22.5µm
net3130,22.5µm
_02196_,22.495µm
_09151_,22.495µm
u_fft_core.u_shift_r4.data_re_q\[30\],22.49µm
_08518_,22.485µm
_15572_,22.485µm
clknet_leaf_114_i_clk,22.475µm
u_fft_core.u_fft4.r_x3_re\[5\],22.47µm
u_fft_core.u_buffer_parallel2serial.mem_im\[4\]\[2\],22.465µm
_10347_,22.46µm
_09467_,22.455µm
_10662_,22.45µm
_11315_,22.45µm
_13022_,22.45µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[3\],22.45µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.i_data_0i\[7\],22.45µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[0\]\[0\],22.45µm
_12386_,22.445µm
_03033_,22.44µm
_16116_,22.44µm
net3281,22.44µm
net3999,22.44µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[4\],22.435µm
u_fft_core.u_shift_r4.data_im_q\[54\],22.435µm
_13619_,22.43µm
_09855_,22.42µm
_10274_,22.42µm
_12677_,22.41µm
_09182_,22.4µm
_16864_,22.395µm
_17122_,22.395µm
_06805_,22.39µm
_08600_,22.39µm
u_fft_core.shift_r2_ff2_data0_re\[5\],22.39µm
u_fft_core.u_buffer_parallel2serial.mem_im\[19\]\[0\],22.39µm
_03829_,22.38µm
_03925_,22.38µm
_06151_,22.38µm
_13271_,22.38µm
u_fft_core.u_buffer_parallel2serial.mem_im\[19\]\[1\],22.38µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[18\],22.38µm
u_fft_core.u_buffer_parallel2serial.mem_im\[31\]\[3\],22.375µm
u_fft_core.u_fft4.s2_x0_re\[2\],22.375µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.r_data1_r\[1\],22.375µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data0_i\[0\],22.375µm
_11625_,22.365µm
_15940_,22.36µm
_04846_,22.345µm
_04402_,22.34µm
_05995_,22.33µm
_12379_,22.33µm
_12676_,22.33µm
rx_data_re\[1\],22.33µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data0_r\[6\],22.33µm
u_fft_core.u_shift_r4.data_re_q\[58\],22.33µm
_12994_,22.325µm
_06200_,22.32µm
_12128_,22.32µm
_14066_,22.32µm
_17229_,22.32µm
_17733_,22.32µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[6\],22.32µm
_05329_,22.315µm
_16732_,22.3µm
_12310_,22.29µm
u_fft_core.u_buffer_parallel2serial.mem_re\[21\]\[6\],22.285µm
u_fft_core.u_buffer_parallel2serial.mem_re\[27\]\[1\],22.28µm
clknet_6_38_0_i_clk,22.28µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[5\],22.275µm
_01373_,22.27µm
_02459_,22.27µm
_09748_,22.27µm
_10287_,22.27µm
rx_data_im\[2\],22.27µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.i_data_0i\[0\],22.27µm
u_fft_core.u_shift_r4.data_re_q\[80\],22.27µm
_04384_,22.265µm
_12141_,22.26µm
_08821_,22.255µm
_10684_,22.255µm
_16141_,22.24µm
net4013,22.24µm
_08032_,22.225µm
_08607_,22.225µm
u_fft_core.u_buffer_parallel2serial.mem_im\[1\]\[7\],22.225µm
_11768_,22.22µm
i_spi_mosi,22.22µm
u_fft_core.u_shift_r2_fft0.data_im_q\[24\],22.22µm
_12625_,22.215µm
clknet_6_43_0_i_clk,22.215µm
_05493_,22.21µm
_05694_,22.21µm
_06990_,22.21µm
_13234_,22.21µm
_16764_,22.21µm
u_fft_core.u_buffer_parallel2serial.mem_im\[8\]\[3\],22.21µm
u_fft_core.u_buffer_parallel2serial.mem_re\[21\]\[4\],22.21µm
u_fft_core.u_shift_r4.data_re_q\[103\],22.21µm
_16186_,22.205µm
_10182_,22.2µm
_15613_,22.2µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[5\],22.2µm
_09334_,22.195µm
_17285_,22.18µm
_12490_,22.175µm
_06806_,22.17µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[4\],22.17µm
_06492_,22.16µm
_14153_,22.16µm
u_fft_core.fft4_data0_re\[5\],22.16µm
u_fft_core.u_shift_r2_fft1.data_re_q\[26\],22.16µm
_04193_,22.15µm
u_fft_core.u_shift_r4.data_re_q\[12\],22.15µm
_02241_,22.14µm
_12136_,22.14µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.valid_count\[1\],22.14µm
u_fft_core.u_shift_r4.data_im_q\[162\],22.14µm
_02903_,22.135µm
_10637_,22.12µm
_11177_,22.12µm
_06357_,22.11µm
u_fft_core.u_shift_r4.valid_q\[7\],22.11µm
_14908_,22.105µm
u_fft_core.u_shift_r2_fft1.data_re_q\[8\],22.105µm
u_fft_core.u_shift_r4.valid_q\[17\],22.105µm
_07000_,22.1µm
_07637_,22.1µm
_15124_,22.1µm
_17745_,22.1µm
net4007,22.1µm
_05417_,22.09µm
_17639_,22.09µm
u_fft_core.u_buffer_parallel2serial.mem_re\[31\]\[0\],22.09µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[8\],22.09µm
net4012,22.09µm
_16407_,22.085µm
_12769_,22.08µm
u_fft_core.u_buffer_parallel2serial.mem_im\[15\]\[4\],22.08µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_count\[1\],22.06µm
_06375_,22.05µm
_14354_,22.045µm
_13316_,22.04µm
_09338_,22.03µm
u_fft_core.shift_r4_data0_re\[5\],22.03µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.u_btfly2.o_data0_r\[7\],22.03µm
clknet_leaf_133_i_clk,22.03µm
_02872_,22.02µm
_06125_,22.02µm
_10495_,22.02µm
_15716_,22.02µm
i_serial_rx,22.02µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[2\],22.02µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[1\],22.02µm
u_fft_core.u_shift_r2_fft3.data_im_q\[19\],22.02µm
_08281_,22.015µm
net3217,22.015µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.r_data1_i\[5\],22µm
clknet_leaf_81_i_clk,21.995µm
_10648_,21.985µm
u_fft_core.shift_r2_ff2_data0_re\[6\],21.985µm
_10955_,21.975µm
_17772_,21.975µm
_03562_,21.97µm
_10801_,21.97µm
u_fft_core.u_buffer_parallel2serial.mem_im\[7\]\[1\],21.97µm
u_fft_core.u_buffer_parallel2serial.mem_re\[25\]\[5\],21.97µm
u_fft_core.u_shift_r2_fft2.data_re_q\[20\],21.97µm
_02254_,21.96µm
_08673_,21.96µm
_13354_,21.96µm
_15037_,21.96µm
_17147_,21.955µm
u_fft_core.u_buffer_parallel2serial.mem_im\[23\]\[2\],21.955µm
_09438_,21.94µm
rx_data_re\[6\],21.925µm
_15398_,21.92µm
u_fft_core.u_shift_r4.data_re_q\[19\],21.92µm
_17983_,21.915µm
_01681_,21.91µm
_07150_,21.91µm
last_out_re\[3\],21.91µm
u_fft_core.u_shift_r4.data_re_q\[24\],21.91µm
net3580,21.905µm
_13755_,21.9µm
_14941_,21.9µm
_17862_,21.9µm
u_fft_core.u_shift_r2_fft1.data_im_q\[30\],21.9µm
u_fft_core.u_shift_r2_fft2.data_re_q\[25\],21.9µm
_07205_,21.895µm
_09019_,21.895µm
_18168_,21.895µm
u_fft_core.u_buffer_parallel2serial.mem_re\[24\]\[4\],21.895µm
u_fft_core.u_shift_r4.data_im_q\[113\],21.895µm
u_fft_core.u_shift_r4.data_re_q\[29\],21.87µm
_07521_,21.865µm
_08419_,21.865µm
u_fft_core.u_buffer_parallel2serial.mem_re\[30\]\[4\],21.865µm
u_fft_core.u_buffer_parallel2serial.mem_re\[6\]\[2\],21.865µm
_03118_,21.85µm
_10135_,21.85µm
_13695_,21.85µm
_16549_,21.85µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_r\[5\],21.85µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[13\],21.85µm
u_fft_core.u_twiddle_interface.data0_re_2q\[2\],21.85µm
u_fft_core.u_shift_r4.valid_q\[22\],21.84µm
_05460_,21.835µm
_08458_,21.835µm
_08517_,21.835µm
u_fft_core.u_fft4.s1_od_sub_re\[2\],21.835µm
u_fft_core.u_buffer_parallel2serial.mem_im\[7\]\[2\],21.805µm
u_fft_core.u_buffer_parallel2serial.mem_re\[2\]\[4\],21.805µm
_03991_,21.8µm
_09032_,21.8µm
_11799_,21.8µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[9\],21.8µm
u_fft_core.u_shift_r4.data_re_q\[17\],21.8µm
_01783_,21.79µm
_02134_,21.79µm
_15224_,21.79µm
_16542_,21.79µm
_17190_,21.79µm
u_debug_sys.u_debug_unit.status_flags_sync\[2\],21.79µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_data0_i\[0\],21.79µm
_04784_,21.78µm
_09015_,21.775µm
_17919_,21.775µm
_15728_,21.77µm
_14387_,21.765µm
_07350_,21.75µm
u_fft_core.u_buffer_parallel2serial.mem_re\[9\]\[3\],21.75µm
u_tx.current_state\[1\],21.75µm
_03283_,21.745µm
_13720_,21.745µm
u_fft_core.u_buffer_parallel2serial.mem_re\[2\]\[3\],21.745µm
_02270_,21.74µm
_03079_,21.74µm
_14165_,21.74µm
_16191_,21.74µm
u_fft_core.u_buffer_parallel2serial.mem_re\[4\]\[4\],21.74µm
u_fft_core.u_shift_r4.data_im_q\[8\],21.74µm
_02908_,21.73µm
_04709_,21.73µm
_15138_,21.73µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_data1_i\[7\],21.73µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_0i\[1\],21.73µm
u_fft_core.u_shift_r4.data_im_q\[34\],21.73µm
_08602_,21.725µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.r_data1_i\[8\],21.725µm
_03015_,21.72µm
_11376_,21.72µm
_15567_,21.72µm
u_fft_core.u_buffer_parallel2serial.mem_im\[3\]\[0\],21.72µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data1_i\[4\],21.705µm
_12032_,21.695µm
_16459_,21.685µm
_16893_,21.685µm
u_fft_core.shift_r2_ff2_data0_im\[1\],21.685µm
_03716_,21.68µm
_13128_,21.68µm
_12569_,21.675µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[13\],21.675µm
_04007_,21.67µm
_17591_,21.67µm
u_debug_sys.addr_out\[6\],21.67µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_data0_i\[4\],21.67µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_data1_i\[0\],21.665µm
_10453_,21.66µm
_17355_,21.66µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.i_data_1r\[3\],21.66µm
_06562_,21.655µm
_10611_,21.655µm
_07126_,21.65µm
_05291_,21.645µm
_05565_,21.645µm
u_fft_core.u_shift_r2_fft3.data_re_q\[11\],21.645µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.o_data_0r\[7\],21.64µm
_06198_,21.635µm
u_fft_core.u_shift_r2_fft3.data_re_q\[16\],21.635µm
u_fft_core.u_buffer_parallel2serial.mem_im\[3\]\[4\],21.63µm
u_fft_core.u_shift_r2_fft2.data_im_q\[12\],21.63µm
u_fft_core.u_shift_r4.data_im_q\[114\],21.63µm
_06862_,21.625µm
_12458_,21.625µm
u_fft_core.u_buffer_parallel2serial.mem_im\[0\]\[6\],21.625µm
_08805_,21.62µm
_14555_,21.62µm
_05827_,21.615µm
u_debug_sys.u_spi_slave.tx_shift\[11\],21.61µm
u_fft_core.u_shift_r4.data_re_q\[110\],21.61µm
_05489_,21.6µm
_14344_,21.6µm
u_fft_core.u_shift_r2_fft2.data_im_q\[27\],21.6µm
_13808_,21.585µm
_06377_,21.57µm
_10081_,21.55µm
_10133_,21.55µm
_13883_,21.55µm
u_fft_core.u_buffer_parallel2serial.mem_re\[14\]\[4\],21.55µm
u_fft_core.u_buffer_parallel2serial.mem_re\[18\]\[7\],21.55µm
_10342_,21.54µm
u_debug_sys.u_debug_unit.last_out_im_sync\[3\],21.54µm
u_fft_core.u_buffer_parallel2serial.mem_im\[24\]\[7\],21.525µm
u_fft_core.u_shift_r2_fft2.data_re_q\[17\],21.525µm
_07798_,21.52µm
_09199_,21.52µm
_10138_,21.51µm
_04055_,21.505µm
_07781_,21.505µm
_17519_,21.505µm
u_fft_core.u_buffer_parallel2serial.mem_im\[20\]\[7\],21.505µm
_07889_,21.5µm
_12633_,21.5µm
_03432_,21.495µm
_06925_,21.49µm
_09822_,21.49µm
_11374_,21.49µm
_13337_,21.49µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[1\],21.49µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[0\]\[1\],21.49µm
