Instance,Terminal,Layer,X location,Y location,Voltage
_42935__2433,VDD,Metal1,284.7720,87.0560,1.198160
_42936__2432,VDD,Metal1,308.0270,33.9030,1.198352
_42937__2431,VDD,Metal1,168.3470,41.4630,1.198386
_42938__2430,VDD,Metal1,75.2270,79.4960,1.198310
_42939__2429,VDD,Metal1,34.9070,154.8630,1.198077
_42940__2428,VDD,Metal1,21.7320,253.1430,1.197950
_42941__2427,VDD,Metal1,22.6920,343.8630,1.197844
_42942__2426,VDD,Metal1,22.2120,389.4560,1.197851
_42943__2425,VDD,Metal1,299.8670,94.3830,1.198182
_42944__2424,VDD,Metal1,315.2270,41.6960,1.198313
_42945__2423,VDD,Metal1,173.6270,34.1360,1.198490
_42946__2422,VDD,Metal1,73.3070,79.4960,1.198310
_42947__2421,VDD,Metal1,35.3870,162.6560,1.198126
_42948__2420,VDD,Metal1,24.6120,253.3760,1.197950
_42949__2419,VDD,Metal1,21.2520,351.6560,1.197887
_42950__2418,VDD,Metal1,27.2270,396.7830,1.197788
_42951__2417,VDD,Metal1,299.1720,101.9430,1.198116
_42952__2416,VDD,Metal1,325.3070,33.9030,1.198348
_42953__2415,VDD,Metal1,187.5470,34.1360,1.198479
_42954__2414,VDD,Metal1,71.8670,87.0560,1.198265
_42955__2413,VDD,Metal1,49.7870,162.6560,1.198110
_42956__2412,VDD,Metal1,29.6270,268.2630,1.197959
_42957__2411,VDD,Metal1,26.7470,358.9830,1.197866
_42958__2410,VDD,Metal1,22.2120,404.3430,1.197844
_42959__2409,VDD,Metal1,282.5870,102.1760,1.198116
_42960__2408,VDD,Metal1,333.9470,41.6960,1.198309
_42961__2407,VDD,Metal1,193.7870,49.0230,1.198387
_42962__2406,VDD,Metal1,79.3320,94.6160,1.198276
_42963__2405,VDD,Metal1,55.8120,162.6560,1.198109
_42964__2404,VDD,Metal1,25.0920,268.2630,1.197959
_42965__2403,VDD,Metal1,24.3470,358.9830,1.197866
_42966__2402,VDD,Metal1,27.2270,404.5760,1.197844
_42967__2401,VDD,Metal1,277.5720,94.6160,1.198185
_42968__2400,VDD,Metal1,328.6670,49.2560,1.198266
_42969__2399,VDD,Metal1,201.9470,49.0230,1.198386
_42970__2398,VDD,Metal1,92.7720,109.5030,1.198208
_42971__2397,VDD,Metal1,60.3470,154.8630,1.198076
_42972__2396,VDD,Metal1,27.7070,268.2630,1.197959
_42973__2395,VDD,Metal1,39.2270,358.9830,1.197865
_42974__2394,VDD,Metal1,30.1070,412.1360,1.197740
_42975__2393,VDD,Metal1,267.7070,109.5030,1.198123
_42976__2392,VDD,Metal1,306.5870,49.2560,1.198266
_42977__2391,VDD,Metal1,200.9870,56.5830,1.198327
_42978__2390,VDD,Metal1,101.1470,101.9430,1.198219
_42979__2389,VDD,Metal1,71.3870,154.8630,1.198071
_42980__2388,VDD,Metal1,43.0670,268.2630,1.197958
_42981__2387,VDD,Metal1,54.1070,351.6560,1.197871
_42982__2386,VDD,Metal1,45.4670,411.9030,1.197740
_42983__2385,VDD,Metal1,277.5720,109.7360,1.198120
_42984__2384,VDD,Metal1,317.6270,49.0230,1.198266
_42985__2383,VDD,Metal1,205.0920,41.6960,1.198380
_42986__2382,VDD,Metal1,73.7870,109.5030,1.198209
_42987__2381,VDD,Metal1,49.3070,147.5360,1.198133
_42988__2380,VDD,Metal1,21.2520,275.8230,1.197892
_42989__2379,VDD,Metal1,54.8520,366.5430,1.197841
_42990__2378,VDD,Metal1,41.1470,419.4630,1.197882
_42991__2377,VDD,Metal1,292.6670,117.0630,1.198096
_42992__2376,VDD,Metal1,324.6120,56.8160,1.198264
_42993__2375,VDD,Metal1,212.7720,41.4630,1.198379
_42994__2374,VDD,Metal1,71.8670,109.5030,1.198209
_42995__2373,VDD,Metal1,48.3470,139.7430,1.198134
_42996__2372,VDD,Metal1,27.2270,276.0560,1.197892
_42997__2371,VDD,Metal1,40.9320,374.1030,1.197866
_42998__2370,VDD,Metal1,54.5870,419.4630,1.197881
_42999__2369,VDD,Metal1,297.7320,117.2960,1.198096
_43000__2368,VDD,Metal1,315.2270,64.1430,1.198237
_43001__2367,VDD,Metal1,230.2670,41.4630,1.198379
_43002__2366,VDD,Metal1,71.8670,117.0630,1.198186
_43003__2365,VDD,Metal1,49.5720,139.7430,1.198132
_43004__2364,VDD,Metal1,25.3070,290.9430,1.197861
_43005__2363,VDD,Metal1,26.7470,381.8960,1.197886
_43006__2362,VDD,Metal1,57.4670,404.5760,1.197818
_43007__2361,VDD,Metal1,289.5720,124.8560,1.198087
_43008__2360,VDD,Metal1,294.8520,64.3760,1.198250
_43009__2359,VDD,Metal1,236.9870,34.1360,1.198371
_43010__2358,VDD,Metal1,86.7470,117.0630,1.198183
_43011__2357,VDD,Metal1,62.5320,132.4160,1.198166
_43012__2356,VDD,Metal1,22.6920,298.5030,1.197791
_43013__2355,VDD,Metal1,21.7320,381.6630,1.197886
_43014__2354,VDD,Metal1,44.7720,396.7830,1.197788
_43015__2353,VDD,Metal1,297.7320,132.1830,1.198033
